Mix Number,Mix Proportion,Cement,SCM,Fine Aggregate,Coarse Aggregate,AEA - A,AEA - B,AEA - C,% Air - A,% Air - B,% Air - C,Slump - A,Slump - B,Slump - C,WCM - A,WCM - B,WCM - C,WRA - A,WRA - B,WRA - C
58,2,2,3,0,6,11.5,12,,5,4.7,,3,3,3,0.37,0.37,,0,0,
59,2,2,3,0,7,18,18,,6,6,,2.75,2.25,2.25,0.39,0.39,,0,0,
60,2,2,3,0,8,13,12,,5.5,3.7,,3,2,2,0.39,0.39,,0,0,
61,2,2,4,0,0,19,15,,6.1,6,,3,3,3,0.38,0.38,,0,0,
62,2,2,4,0,1,16,16,,5.9,4.7,,3,3,3,0.37,0.38,,0,0,
63,2,2,4,0,6,16,18,,5,4.9,,2,2.25,2.25,0.38,0.38,,0,0,
64,2,2,4,0,7,22,25,,5.4,6.4,,1.75,2.25,2.25,0.4,0.4,,0,0,
65,2,2,4,0,8,15,14,,5.2,4.6,,2.75,2.25,2.25,0.39,0.39,,0,0,
66,2,2,5,0,0,18,18.5,,5.6,5.2,,3,2.75,2.75,0.37,0.37,,0,0,
67,2,2,5,0,1,15,17.5,,4.2,4.6,,3,2.25,2.25,0.37,0.37,,0,0,
68,2,2,5,0,6,20,19.5,,6.2,4.8,,2.25,2.25,2.25,0.37,0.37,,0,0,
69,2,2,5,0,7,22,22,,4.9,5.6,,2,2.25,2.25,0.39,0.39,,0,0,
70,2,2,5,0,8,17,14,,5.5,3.7,,3,2.25,2.25,0.39,0.39,,0,0,
71,1,1,2,0,0,16,16,,5.8,5.5,,2.25,2.25,2.25,0.4,0.4,,40,40,
72,1,1,2,0,1,16,16,,5.7,6.2,,2.75,2.25,2.25,0.4,0.4,,35,35,
73,1,1,2,0,6,16,16,,4.6,5,,2.25,2.25,2.25,0.4,0.4,,30,35,
74,1,1,2,0,7,22,24,,5,5.2,,1.25,2,2,0.4,0.4,,85,85,
75,1,1,2,0,8,12,11,,4.8,4.7,,2,2.25,2.25,0.4,0.4,,80,80,
76,2,1,4,0,0,23,22.5,,6.3,5.3,,3,3,3,0.38,0.38,,0,0,
77,2,1,4,0,1,20.5,23,,4.2,5.6,,2.75,3,3,0.37,0.38,,0,0,
78,2,1,4,0,6,23,25,,4.8,4.9,,3,2.25,2.25,0.38,0.38,,0,0,
79,2,1,4,0,7,26.5,30,,4.8,6,,2.25,3,3,0.4,0.4,,10,10,
80,2,1,4,0,8,18,21,,3.6,4.3,,2,2.25,2.25,0.39,0.39,,0,0,
81,2,1,5,0,0,23,23.5,,5.3,4.9,,2.75,2.25,2.25,0.38,0.38,,0,0,
82,2,1,5,0,1,21,22.5,,4.6,4.7,,2.75,3,3,0.38,0.38,,0,0,
83,2,1,5,0,6,22.5,24,,5.2,4.7,,3,2.75,2.75,0.38,0.38,,0,0,
84,2,1,5,0,7,30,27,,6.6,5.9,,2.25,2.75,2.75,0.4,0.4,,10,10,
85,2,1,5,0,8,21,23,,4.2,4.5,,2.25,2.75,2.75,0.39,0.39,,0,0,
86,1,1,1,1,0,14,14,,6,5.5,,3,2.25,2.25,0.39,0.39,,0,0,
87,1,1,1,1,1,20,21,,4.4,5,,1.75,2.25,2.25,0.39,0.39,,0,0,
88,1,1,1,1,6,13.5,12.5,,6.4,5.3,,3,3,3,0.4,0.4,,0,0,
89,1,1,1,1,7,23,23,,5.8,6.1,,1.25,1.25,1.25,0.4,0.4,,10,15,
90,1,1,1,1,8,12,12,,4.6,3.7,,1.25,1.25,1.25,0.4,0.4,,20,20,
91,1,1,2,1,0,15,12.5,,6.6,5.3,,3,2.25,2.25,0.4,0.39,,0,0,
92,1,1,2,1,1,12,14,,4.8,5.6,,2.25,3,3,0.39,0.39,,0,0,
93,1,1,2,1,6,12.5,14,,5,4.5,,3,2.25,2.25,0.39,0.39,,0,0,
94,1,1,2,1,7,23,22,,6.6,6.2,,2.25,2.25,2.25,0.4,0.4,,10,10,
95,1,1,2,1,8,10,10,,4.7,4.6,,2.25,2.25,2.25,0.4,0.4,,25,25,
96,2,1,3,1,0,17,17,,5.6,5.6,,3,3,3,0.34,0.34,,0,0,
97,2,1,3,1,1,17,20,,5.5,4.9,,3,2.25,2.25,0.33,0.33,,0,0,
98,2,1,3,1,6,16,19,,4.7,5.4,,3,3,3,0.34,0.34,,0,0,
99,2,1,3,1,7,20,20.5,,5.6,4.9,,2.25,2.25,2.25,0.37,0.37,,0,0,
100,2,1,3,1,8,11,9,,5.6,4.9,,2.75,2.75,2.75,0.37,0.37,,0,0,
101,2,1,4,1,0,21,22,,5.4,5.8,,2.25,3,3,0.35,0.35,,0,0,
102,2,1,4,1,1,20,21,,4.4,5,,1.75,2.25,2.25,0.34,0.35,,0,0,
103,2,1,4,1,6,19.5,21.5,,4.5,4.5,,1.75,2,2,0.34,0.35,,0,0,
104,2,1,4,1,7,24,24,,5.8,5.7,,2.25,2,2,0.38,0.38,,0,0,
105,2,1,4,1,8,21,22,,4.7,5.3,,1.25,2,2,0.37,0.37,,0,0,
106,2,1,5,1,0,23,23,,5.6,6.4,,3,3,3,0.34,0.34,,0,0,
107,2,1,5,1,1,21,21,,5.9,6,,3,3,3,0.35,0.35,,0,0,
108,2,1,5,1,6,20,24,,4.5,5.2,,2.25,2.25,2.25,0.34,0.34,,0,0,
109,2,1,5,1,7,25,25,,5.8,6,,3,3,3,0.38,0.38,,0,0,
110,2,1,5,1,8,21,21,,5.4,4.8,,2.25,2.25,2.25,0.37,0.37,,0,0,
