Mix Number,MixP_A-S,MixP_A-F,Cem_1,Cem_2,SCM_Slag,SCM_FlyAsh,FineA_SandA,FineA_SandB,CoarseA_GG,CoarseA_CS,AEA - A,% Air - A,Slump - A,WCM - A,WRA - A,CTE 28 Day (x10^6),MoR 7 Day,MoR 14 Day,MoR 28 Day,MoR 90 Day
66,0,1,1,0,0,1,1,0,1,0,23,5.3,2.75,0.38,0,9.36,613,659,668,803
67,0,1,1,0,0,1,1,0,1,0,21,4.6,2.75,0.38,0,9.78,614,675,770,880
68,0,1,1,0,0,1,1,0,0,1,22.5,5.2,3,0.38,0,9.67,657,683,805,872
69,0,1,1,0,0,1,1,0,0,1,30,6.6,2.25,0.4,10,8.58,591,655,690,929
70,0,1,1,0,0,1,1,0,0,1,21,4.2,2.25,0.39,0,9.5,630,671,716,847
71,1,0,1,0,1,0,0,1,1,0,14,6,3,0.39,0,9.59,611,730,736,747
72,1,0,1,0,1,0,0,1,1,0,20,4.4,1.75,0.39,0,9.6,544,608,713,785
73,1,0,1,0,1,0,0,1,0,1,13.5,6.4,3,0.4,0,9.77,563,691,666,884
74,1,0,1,0,1,0,0,1,0,1,23,5.8,1.25,0.4,10,8.87,718,797,918,979
75,1,0,1,0,1,0,0,1,0,1,12,4.6,1.25,0.4,20,9.75,587,633,726,857
76,1,0,1,0,1,0,0,1,1,0,15,6.6,3,0.4,0,9.36,569,617,713,761
77,1,0,1,0,1,0,0,1,1,0,12,4.8,2.25,0.39,0,10,630,662,774,895
78,1,0,1,0,1,0,0,1,0,1,12.5,5,3,0.39,0,9.47,638,734,756,814
79,1,0,1,0,1,0,0,1,0,1,23,6.6,2.25,0.4,10,8.67,687,745,782,840
80,1,0,1,0,1,0,0,1,0,1,10,4.7,2.25,0.4,25,9.51,641,663,816,903
81,0,1,1,0,0,1,0,1,1,0,17,5.6,3,0.34,0,9.49,594,650,682,823
82,0,1,1,0,0,1,0,1,1,0,17,5.5,3,0.33,0,9.67,636,689,689,727
83,0,1,1,0,0,1,0,1,0,1,16,4.7,3,0.34,0,9.68,664,691,763,901
84,0,1,1,0,0,1,0,1,0,1,20,5.6,2.25,0.37,0,8.63,543,621,623,732
85,0,1,1,0,0,1,0,1,0,1,11,5.6,2.75,0.37,0,9.63,585,618,756,775
86,0,1,1,0,0,1,0,1,1,0,21,5.4,2.25,0.35,0,9.33,508,575,666,795
87,0,1,1,0,0,1,0,1,1,0,20,4.4,1.75,0.34,0,9.88,715,667,754,967
88,0,1,1,0,0,1,0,1,0,1,19.5,4.5,1.75,0.34,0,9.88,651,710,756,911
89,0,1,1,0,0,1,0,1,0,1,24,5.8,2.25,0.38,0,8.53,636,596,721,814
90,0,1,1,0,0,1,0,1,0,1,21,4.7,1.25,0.37,0,9.61,618,677,725,849
91,0,1,1,0,0,1,0,1,1,0,23,5.6,3,0.34,0,9.28,582,639,712,731
92,0,1,1,0,0,1,0,1,1,0,21,5.9,3,0.35,0,9.86,595,661,664,788
93,0,1,1,0,0,1,0,1,0,1,20,4.5,2.25,0.34,0,9.58,698,716,787,897
94,0,1,1,0,0,1,0,1,0,1,25,5.8,3,0.38,0,8.74,602,685,775,782
95,0,1,1,0,0,1,0,1,0,1,21,5.4,2.25,0.37,0,9.65,625,706,768,860
