AEA - A,% Air - A,Slump - A,WCM - A,WRA - A,CTE 28 Day,MoR 7 Day,MoR 14 Day,MoR 28 Day,MoR 90 Day
16,6.1,1.25,0.4,85,8.97E-06,805,899,966,776
9.5,4.3,1.25,0.4,65,9.57E-06,751,739,845,926
12,5.7,2.25,0.4,25,9.61E-06,705,831,833,832
9,4.5,2.25,0.4,20,9.79E-06,706,806,868,922
11,4.9,2.25,0.4,25,9.61E-06,704,863,875,927
16,6,1.75,0.4,80,8.99E-06,849,902,972,1057
8,4.6,2,0.4,70,9.47E-06,668,750,836,846
12,5.2,3,0.37,0,9.56E-06,763,740,804,839
12.5,5.9,3,0.37,0,9.88E-06,604,740,746,811
11.5,5,3,0.37,0,9.48E-06,654,771,892,952
18,6,2.75,0.39,0,8.81E-06,727,798,880,968
13,5.5,3,0.39,0,9.55E-06,687,694,781,877
19,6.1,3,0.38,0,9.48E-06,668,661,746,848
16,5.9,3,0.37,0,9.71E-06,627,656,827,838
16,5,2,0.38,0,9.78E-06,690,795,810,884
22,5.4,1.75,0.4,0,9.13E-06,666,765,891,897
15,5.2,2.75,0.39,0,9.47E-06,590,695,784,833
18,5.6,3,0.37,0,9.44E-06,661,707,808,822
15,4.2,3,0.37,0,9.69E-06,742,799,812,1009
20,6.2,2.25,0.37,0,9.72E-06,674,757,825,948
22,4.9,2,0.39,0,9.06E-06,780,822,834,916
17,5.5,3,0.39,0,9.48E-06,666,696,814,969
16,5.8,2.25,0.4,40,9.50E-06,664,731,789,839
16,5.7,2.75,0.4,35,1.01E-05,604,700,696,850
16,4.6,2.25,0.4,30,9.57E-06,687,815,826,957
22,5,1.25,0.4,85,8.62E-06,698,794,805,926
12,4.8,2,0.4,80,9.47E-06,640,692,766,882
23,6.3,3,0.38,0,9.48E-06,584,612,684,826
20.5,4.2,2.75,0.37,0,9.88E-06,560,686,721,876
23,4.8,3,0.38,0,9.50E-06,679,682,796,923
