Mix Proportion,Cement,SCM,Fine Aggregate,Coarse Aggregate,AEA - B,% Air - B,Slump - B,WCM - B,WRA - B,CS 7 Day,CS 14 Day,CS 28 Day,CS 90 Day,MoE 7 Day,MoE 14 Day,MoE 28 Day,MoE 90 Day,PR 7 Day,PR 14 Day,PR 28 Day,PR 90 Day,STS 7 Day,STS 14 Day,STS 28 Day,STS 90 Day
1,2,0,0,1,15,5.9,1.25,0.4,83,4809,5416,5745,6203,4770750,5012500,5105667,4783000,0.23,0.2,0.19,0.17,437,484,541,510
1,2,0,0,1,8,4.8,2,0.4,70,4546,5356,5862,6688,3087333,3573500,3531500,4246000,0.19,0.21,0.21,0.21,447,475,494,636
2,2,1,0,0,16,6.3,3,0.37,0,3793,4654,5067,5788,3793833,4212333,4403000,4841667,0.18,0.18,0.19,0.17,376,396,459,468
2,2,1,0,0,12.5,5,3,0.38,0,4234,4945,5385,6763,3521833,3937000,4097333,4793833,0.2,0.21,0.21,0.21,337,430,451,479
2,2,1,0,1,12,4.7,3,0.37,0,4285,4939,5666,6453,3591667,3884167,4079400,5000167,0.19,0.19,0.2,0.22,415,449,538,578
2,2,1,0,1,18,6,2.25,0.39,0,3820,4520,5320,6131,4437167,4623667,5146833,5134833,0.16,0.17,0.18,0.18,391,471,534,545
2,2,1,0,1,12,3.7,2,0.39,0,5497,6390,7293,8798,3361333,3819667,4073500,5062000,0.21,0.23,0.22,0.24,454,461,518,735
2,2,1,0,0,15,6,3,0.38,0,3666,4245,4726,5534,3879833,3818167,4377167,4794500,0.17,0.15,0.18,0.18,360,392,428,455
2,2,1,0,0,16,4.7,3,0.38,0,4155,4900,5486,6660,4080500,3929167,4111333,4603333,0.21,0.2,0.19,0.2,367,436,507,544
2,2,1,0,1,18,4.9,2.25,0.38,0,4312,5116,5557,6786,3745000,3834667,4076667,5014833,0.2,0.21,0.2,0.21,420,428,480,548
2,2,1,0,1,25,6.4,2.25,0.4,0,3545,4151,4515,5346,4261667,4603167,4921000,5289500,0.18,0.19,0.16,0.17,394,453,475,531
2,2,1,0,1,14,4.6,2.25,0.39,0,4664,5319,6325,7763,3250167,3679167,3818667,4724833,0.2,0.21,0.22,0.22,415,454,515,667
2,2,1,0,0,18.5,5.2,2.75,0.37,0,4334,5010,5746,6858,4195333,4372500,4704667,5051833,0.18,0.19,0.17,0.19,412,465,466,551
2,2,1,0,0,17.5,4.6,2.25,0.37,0,4249,5007,5579,6713,3194667,3719500,4430167,4794667,0.15,0.18,0.21,0.21,418,420,481,527
2,2,1,0,1,19.5,4.8,2.25,0.37,0,4526,5398,6055,6985,3817167,4055833,4263167,5022167,0.21,0.2,0.21,0.22,430,457,458,590
2,2,1,0,1,22,5.6,2.25,0.39,0,3966,4610,5217,6064,4286667,4871000,4970833,4982167,0.19,0.2,0.19,0.18,425,502,499,533
2,2,1,0,1,14,3.7,2.25,0.39,0,5165,6042,6361,7682,3292333,3633167,3942833,4882000,0.19,0.21,0.22,0.22,395,526,540,670
1,1,0,0,0,16,5.5,2.25,0.4,40,3655,4321,5040,5821,3478000,3891667,4220667,4683167,0.16,0.18,0.18,0.18,414,454,471,522
1,1,0,0,0,16,6.2,2.25,0.4,35,3369,4169,4597,5035,3499667,3528833,3641000,3831833,0.21,0.2,0.19,0.18,354,385,452,513
1,1,0,0,1,16,5,2.25,0.4,35,3650,4351,5072,5229,3268167,3614833,3887000,4789000,0.19,0.19,0.19,0.19,359,446,495,523
1,1,0,0,1,24,5.2,2,0.4,85,4189,5239,5651,6656,4608667,4817833,4949333,5483500,0.19,0.19,0.19,0.19,497,498,514,584
1,1,0,0,1,11,4.7,2.25,0.4,80,4149,5326,5966,6522,3143000,3351167,3680667,4050833,0.19,0.19,0.2,0.21,414,476,484,561
2,1,1,0,0,22.5,5.3,3,0.38,0,3904,4721,5147,6590,3674500,4031000,4340500,4957167,0.16,0.18,0.19,0.18,382,460,488,523
2,1,1,0,0,23,5.6,3,0.38,0,3778,4294,5126,5851,3185000,3545167,3852500,4575333,0.18,0.18,0.2,0.19,347,383,471,530
2,1,1,0,1,25,4.9,2.25,0.38,0,4021,4518,5370,6257,3480000,3538000,4042667,4629833,0.2,0.19,0.19,0.19,401,431,495,565
2,1,1,0,1,30,6,3,0.4,10,3707,4326,4981,5987,4100333,4362333,4798167,5255333,0.17,0.16,0.19,0.19,439,441,473,541
2,1,1,0,1,21,4.3,2.25,0.39,0,4954,5363,6459,7707,3298500,3802833,4068000,4658333,0.21,0.24,0.21,0.21,396,475,450,579
2,1,1,0,0,23.5,4.9,2.25,0.38,0,4290,4942,5598,6846,3795500,4184667,4166000,5109167,0.17,0.18,0.17,0.19,407,443,467,566
2,1,1,0,0,22.5,4.7,3,0.38,0,3828,4534,5135,5910,3358833,3753667,4346500,4380000,0.18,0.19,0.21,0.18,379,411,460,546
2,1,1,0,1,24,4.7,2.75,0.38,0,3798,4339,4995,5401,3562833,3603000,3871667,4458667,0.16,0.16,0.18,0.2,362,421,501,556
2,1,1,0,1,27,5.9,2.75,0.4,10,3833,4321,5290,6168,4226667,5028000,4842500,5218167,0.17,0.21,0.17,0.19,447,480,478,565
2,1,1,0,1,23,4.5,2.75,0.39,0,4673,5462,6167,7053,3112000,3303500,3703667,4523833,0.18,0.21,0.21,0.2,363,427,438,547
1,1,0,1,0,14,5.5,2.25,0.39,0,3912,4610,5342,5973,3765667,4083333,4369167,4912167,0.17,0.18,0.16,0.18,450,448,474,487
1,1,0,1,0,21,5,2.25,0.39,0,3934,4781,5324,6341,3593500,4118500,4081667,4869000,0.18,0.2,0.18,0.18,395,434,471,522
1,1,0,1,1,12.5,5.3,3,0.4,0,3820,4591,4995,5893,3246500,3672833,3994500,4757500,0.17,0.17,0.17,0.19,406,479,497,469
1,1,0,1,1,23,6.1,1.25,0.4,15,4011,4756,5475,6116,4341833,4577167,5026500,5165500,0.17,0.17,0.18,0.17,455,495,510,551
1,1,0,1,1,12,3.7,1.25,0.4,20,5303,6425,7092,8091,3337500,3648167,4537167,4522167,0.19,0.2,0.22,0.21,457,458,502,600
1,1,0,1,0,12.5,5.3,2.25,0.39,0,3728,4318,4970,5643,3943667,3972500,4391667,4896000,0.19,0.17,0.16,0.17,365,421,506,478
1,1,0,1,0,14,5.6,3,0.39,0,3813,4536,5020,5634,3278833,3788167,4017333,4978500,0.18,0.17,0.18,0.19,404,450,492,517
1,1,0,1,1,14,4.5,2.25,0.39,0,4049,4535,4931,6072,3487500,3853833,4368333,4956000,0.17,0.17,0.18,0.19,419,429,479,483
1,1,0,1,1,22,6.2,2.25,0.4,10,3783,4513,5378,5535,4289500,4657667,5680000,5182000,0.17,0.18,0.22,0.22,390,477,438,558
1,1,0,1,1,10,4.6,2.25,0.4,25,4473,5552,6644,7765,3243500,3624333,4037167,4695167,0.2,0.19,0.21,0.22,379,455,489,585
2,1,1,1,0,17,5.6,3,0.34,0,4375,5127,5712,6636,4243833,4587333,4966833,5382333,0.15,0.17,0.19,0.18,388,439,414,490
2,1,1,1,0,20,4.9,2.25,0.33,0,5154,5855,6183,7610,4592333,4278333,4606500,5432833,0.21,0.18,0.18,0.2,421,486,521,558
2,1,1,1,1,19,5.4,3,0.34,0,4312,5287,5764,6644,3800833,4042333,4295000,5840833,0.17,0.18,0.18,0.22,401,439,468,477
2,1,1,1,1,20.5,4.9,2.25,0.37,0,4498,5302,5947,6758,4528000,4814167,5389333,5504000,0.19,0.16,0.18,0.17,507,516,492,536
2,1,1,1,1,9,4.9,2.75,0.37,0,4669,5433,5919,7265,3494333,3343833,3813833,4784333,0.19,0.19,0.18,0.2,419,391,498,600
2,1,1,1,0,22,5.8,3,0.35,0,4014,4535,5248,5960,4312167,4259167,4582333,5152333,0.17,0.15,0.15,0.19,381,412,460,467
2,1,1,1,0,21,5,2.25,0.35,0,4747,5453,6085,7200,3866667,4141667,4546833,5261500,0.18,0.18,0.19,0.2,409,476,490,535
2,1,1,1,1,21.5,4.5,2,0.35,0,4861,5562,6297,7307,3797167,4139333,4335500,5244167,0.18,0.18,0.19,0.2,479,478,511,537
2,1,1,1,1,24,5.7,2,0.38,0,4437,5058,5778,6969,4572333,4829833,5194167,5138333,0.17,0.18,0.18,0.17,409,473,487,520
2,1,1,1,1,22,5.3,2,0.37,0,4616,5562,6244,7661,3222000,3427667,3524833,4924333,0.19,0.19,0.18,0.21,315,374,471,579
2,1,1,1,0,23,6.4,3,0.34,0,3923,4497,4792,5895,4204167,4371000,4458500,5138833,0.17,0.18,0.18,0.16,393,476,425,526
2,1,1,1,0,21,6,3,0.35,0,4304,5060,5885,6793,3640500,3780500,4191500,5040167,0.18,0.17,0.2,0.19,403,416,478,541
2,1,1,1,1,24,5.2,2.25,0.34,0,4725,5553,5944,7091,4059500,4116500,4448500,5130667,0.18,0.18,0.18,0.19,458,472,526,539
2,1,1,1,1,25,6,3,0.38,0,4193,4849,5067,6448,4462000,4902500,5052500,5122167,0.18,0.2,0.19,0.18,407,489,481,525
2,1,1,1,1,21,4.8,2.25,0.37,0,4819,5632,6565,7376,3099667,3575167,4040500,4887000,0.18,0.2,0.2,0.22,391,423,487,534
