GG1,100,100,98,63,34,4,2
GG2,100,100,99,81,57,2,1
GG3,100,100,98,66,40,1,1
GG4,100,100,92,46,20,1,1
GG5,100,100,90,32,8,2,2
GG6,100,100,79,33,4,0,0
CS1,100,100,96,62,39,6,2
CS2,100,95,79,45,29,6,4
CS3,100,100,97,56,34,7,5
CS4,100,100,99,78,49,2,1
CS5,100,100,99,60,32,1,1
CS6,100,100,96,32,9,0,0
CS7,100,100,94,44,18,1,1
CS8,100,100,89,38,19,1,1
CS9,100,100,100,81,44,2,1
