Mix Number,MoR 7 Day,MoR 14 Day,MoR 28 Day,MoR 90 Day,CTE 28 Day,Mix Proportion,Cement,SCM,Fine Aggregate,Coarse Aggregate,AEA - A,% Air - A,Slump - A,WCM - A,WRA - A
55,668,750,836,846,9.47e-06,1.0,2.0,2.0,0.0,8.0,8.0,4.6,2.0,0.4,70.0
56,763,740,804,839,9.56e-06,2.0,2.0,3.0,0.0,0.0,12.0,5.2,3.0,0.37,0.0
57,604,740,746,811,9.88e-06,2.0,2.0,3.0,0.0,1.0,12.5,5.9,3.0,0.37,0.0
58,654,771,892,952,9.48e-06,2.0,2.0,3.0,0.0,6.0,11.5,5.0,3.0,0.37,0.0
59,727,798,880,968,8.81e-06,2.0,2.0,3.0,0.0,7.0,18.0,6.0,2.75,0.39,0.0
60,687,694,781,877,9.55e-06,2.0,2.0,3.0,0.0,8.0,13.0,5.5,3.0,0.39,0.0
61,668,661,746,848,9.48e-06,2.0,2.0,4.0,0.0,0.0,19.0,6.1,3.0,0.38,0.0
62,627,656,827,838,9.71e-06,2.0,2.0,4.0,0.0,1.0,16.0,5.9,3.0,0.37,0.0
63,690,795,810,884,9.78e-06,2.0,2.0,4.0,0.0,6.0,16.0,5.0,2.0,0.38,0.0
64,666,765,891,897,9.13e-06,2.0,2.0,4.0,0.0,7.0,22.0,5.4,1.75,0.4,0.0
65,590,695,784,833,9.47e-06,2.0,2.0,4.0,0.0,8.0,15.0,5.2,2.75,0.39,0.0
66,661,707,808,822,9.44e-06,2.0,2.0,5.0,0.0,0.0,18.0,5.6,3.0,0.37,0.0
67,742,799,812,1009,9.69e-06,2.0,2.0,5.0,0.0,1.0,15.0,4.2,3.0,0.37,0.0
68,674,757,825,948,9.72e-06,2.0,2.0,5.0,0.0,6.0,20.0,6.2,2.25,0.37,0.0
69,780,822,834,916,9.06e-06,2.0,2.0,5.0,0.0,7.0,22.0,4.9,2.0,0.39,0.0
70,666,696,814,969,9.48e-06,2.0,2.0,5.0,0.0,8.0,17.0,5.5,3.0,0.39,0.0
71,664,731,789,839,9.5e-06,1.0,1.0,2.0,0.0,0.0,16.0,5.8,2.25,0.4,40.0
72,604,700,696,850,1.01e-05,1.0,1.0,2.0,0.0,1.0,16.0,5.7,2.75,0.4,35.0
73,687,815,826,957,9.57e-06,1.0,1.0,2.0,0.0,6.0,16.0,4.6,2.25,0.4,30.0
74,698,794,805,926,8.62e-06,1.0,1.0,2.0,0.0,7.0,22.0,5.0,1.25,0.4,85.0
75,640,692,766,882,9.47e-06,1.0,1.0,2.0,0.0,8.0,12.0,4.8,2.0,0.4,80.0
76,584,612,684,826,9.48e-06,2.0,1.0,4.0,0.0,0.0,23.0,6.3,3.0,0.38,0.0
77,560,686,721,876,9.88e-06,2.0,1.0,4.0,0.0,1.0,20.5,4.2,2.75,0.37,0.0
78,679,682,796,923,9.5e-06,2.0,1.0,4.0,0.0,6.0,23.0,4.8,3.0,0.38,0.0
79,611,757,781,939,8.6e-06,2.0,1.0,4.0,0.0,7.0,26.5,4.8,2.25,0.4,10.0
80,649,738,756,877,9.58e-06,2.0,1.0,4.0,0.0,8.0,18.0,3.6,2.0,0.39,0.0
81,613,659,668,803,9.36e-06,2.0,1.0,5.0,0.0,0.0,23.0,5.3,2.75,0.38,0.0
82,614,675,770,880,9.78e-06,2.0,1.0,5.0,0.0,1.0,21.0,4.6,2.75,0.38,0.0
83,657,683,805,872,9.67e-06,2.0,1.0,5.0,0.0,6.0,22.5,5.2,3.0,0.38,0.0
84,591,655,690,929,8.58e-06,2.0,1.0,5.0,0.0,7.0,30.0,6.6,2.25,0.4,10.0
85,630,671,716,847,9.5e-06,2.0,1.0,5.0,0.0,8.0,21.0,4.2,2.25,0.39,0.0
86,611,730,736,747,9.59e-06,1.0,1.0,1.0,1.0,0.0,14.0,6.0,3.0,0.39,0.0
87,544,608,713,785,9.6e-06,1.0,1.0,1.0,1.0,1.0,20.0,4.4,1.75,0.39,0.0
88,563,691,666,884,9.77e-06,1.0,1.0,1.0,1.0,6.0,13.5,6.4,3.0,0.4,0.0
89,718,797,918,979,8.87e-06,1.0,1.0,1.0,1.0,7.0,23.0,5.8,1.25,0.4,10.0
90,587,633,726,857,9.75e-06,1.0,1.0,1.0,1.0,8.0,12.0,4.6,1.25,0.4,20.0
91,569,617,713,761,9.36e-06,1.0,1.0,2.0,1.0,0.0,15.0,6.6,3.0,0.4,0.0
92,630,662,774,895,1e-05,1.0,1.0,2.0,1.0,1.0,12.0,4.8,2.25,0.39,0.0
93,638,734,756,814,9.47e-06,1.0,1.0,2.0,1.0,6.0,12.5,5.0,3.0,0.39,0.0
94,687,745,782,840,8.67e-06,1.0,1.0,2.0,1.0,7.0,23.0,6.6,2.25,0.4,10.0
