Mix Number,CS 7 Day,CS 14 Day,CS 28 Day,CS 90 Day,MoR 7 Day,MoR 14 Day,MoR 28 Day,MoR 90 Day,MoE 7 Day,MoE 14 Day,MoE 28 Day,MoE 90 Day,PR 7 Day,PR 14 Day,PR 28 Day,PR 90 Day,STS 7 Day,STS 14 Day,STS 28 Day,STS 90 Day,DM 7 Day,DM 14 Day,DM 28 Day,DM 90 Day,CTE 28 Day
37,3892,4790,5315,6353,663,749,765,871,3667833,3786167,4079833,5321833,0.18,0.19,0.21,0.21,417,458,438,524,,,,6009054,9.61E-06
38,4404,5203,5959,6746,642,765,718,897,4272667,4776000,5141667,5569000,0.18,0.18,0.19,0.18,438,535,519,561,5304079,5639393,5936016,6591299,8.68E-06
39,4347,5425,6312,7661,683,685,773,933,3191167,3312333,3510667,4627333,0.2,0.23,0.18,0.22,440,473,476,632,4252484,4889278,4928749,5860802,9.62E-06
40,4388,4990,5596,6648,712,716,792,907,3455167,3433333,4006000,4529667,0.19,0.19,0.2,0.21,409,424,484,558,4539716,4864247,,,9.60E-06
41,4965,5885,6918,7904,688,776,878,1080,4052000,4562333,4921667,5278000,0.22,0.22,0.21,0.2,455,498,491,632,,,,,9.66E-06
42,4592,5275,6182,7313,623,692,783,903,4382000,4529167,4817500,5497667,0.14,0.16,0.16,0.15,462,505,527,625,,,,,1.10E-05
43,3436,3889,4497,5260,694,731,772,959,4495333,4712500,5097333,5527000,0.2,0.19,0.18,0.2,458,480,526,599,,,,,8.60E-06
44,4138,4351,4885,5574,582,638,789,936,3732833,3426167,3983500,4500000,0.19,0.17,0.2,0.23,379,390,425,513,,,,,1.00E-05
45,4197,4952,5597,6799,726,744,808,992,3446667,3963333,4385500,4743833,0.18,0.19,0.2,0.2,420,496,496,585,,,,,9.48E-06
46,4144,4695,5137,5999,731,863,867,845,3912500,4012500,4233667,4767333,0.2,0.2,0.17,0.19,431,456,496,502,4980818,5313019,5469388,5765766,9.76E-06
47,3839,4503,4921,5520,830,867,933,943,3483667,3748333,3942167,4801000,0.18,0.21,0.18,0.2,411,462,482,526,,,,5901983,1.00E-05
48,4503,4946,5272,5925,715,855,833,871,3838000,4135500,4012500,4520667,0.22,0.2,0.2,0.2,475,484,537,583,,,,6046132,9.89E-06
49,4518,5030,5477,6146,805,899,966,776,4764667,4830333,5180667,4694000,0.17,0.19,0.2,0.17,442,509,548,546,5412743,5780690,5874832,6183289,8.97E-06
50,4853,5729,6349,7361,751,739,845,926,3203833,3612667,3726333,4340500,0.21,0.21,0.21,0.22,455,513,553,622,4409180,4629199,4979284,5493740,9.57E-06
51,4132,4667,5255,6023,705,831,833,832,3944000,4215000,4189000,4879833,0.18,0.18,0.18,0.18,418,473,492,520,4988016,5194641,5411415,5669140,9.61E-06
52,3806,4555,4830,5359,706,806,868,922,3591000,3836000,3905500,4335833,0.2,0.21,0.21,0.19,415,441,504,517,,,,6020703,9.79E-06
53,3887,4558,4949,5587,704,863,875,927,3243333,3800000,3959833,4576833,0.18,0.19,0.2,0.2,428,483,488,515,,,,6000933,9.61E-06
54,4809,5416,5745,6203,849,902,972,1057,4770750,5012500,5105667,4783000,0.23,0.2,0.19,0.17,437,484,541,510,5732747,5827863,5918877,6027660,8.99E-06
55,4546,5356,5862,6688,668,750,836,846,3087333,3573500,3531500,4246000,0.19,0.21,0.21,0.21,447,475,494,636,4368879,4531014,4891876,5340390,9.47E-06
56,3793,4654,5067,5788,763,740,804,839,3793833,4212333,4403000,4841667,0.18,0.18,0.19,0.17,376,396,459,468,4966519,5270466,5590807,5893144,9.56E-06
57,4234,4945,5385,6763,604,740,746,811,3521833,3937000,4097333,4793833,0.2,0.21,0.21,0.21,337,430,451,479,,,,5847769,9.88E-06
58,4285,4939,5666,6453,654,771,892,952,3591667,3884167,4079400,5000167,0.19,0.19,0.2,0.22,415,449,538,578,,,,6101876,9.48E-06
59,3820,4520,5320,6131,727,798,880,968,4437167,4623667,5146833,5134833,0.16,0.17,0.18,0.18,391,471,534,545,5360215,5599207,5711050,6089036,8.81E-06
60,5497,6390,7293,8798,687,694,781,877,3361333,3819667,4073500,5062000,0.21,0.23,0.22,0.24,454,461,518,735,4169412,4487162,4815447,5440030,9.55E-06
61,3666,4245,4726,5534,668,661,746,848,3879833,3818167,4377167,4794500,0.17,0.15,0.18,0.18,360,392,428,455,4765120,5135630,5413226,5762075,9.48E-06
